date,keyword_group,ratio
2025-01-01,두바이 쫀득쿠키,0.02123
2025-01-02,두바이 쫀득쿠키,0.03185
2025-01-03,두바이 쫀득쿠키,0.02017
2025-01-04,두바이 쫀득쿠키,0.01911
2025-01-05,두바이 쫀득쿠키,0.02123
2025-01-06,두바이 쫀득쿠키,0.02442
2025-01-07,두바이 쫀득쿠키,0.01911
2025-01-08,두바이 쫀득쿠키,0.0138
2025-01-09,두바이 쫀득쿠키,0.02229
2025-01-10,두바이 쫀득쿠키,0.0276
2025-01-11,두바이 쫀득쿠키,0.01699
2025-01-12,두바이 쫀득쿠키,0.01274
2025-01-13,두바이 쫀득쿠키,0.01168
2025-01-14,두바이 쫀득쿠키,0.03504
2025-01-15,두바이 쫀득쿠키,0.00955
2025-01-16,두바이 쫀득쿠키,0.01486
2025-01-17,두바이 쫀득쿠키,0.02654
2025-01-18,두바이 쫀득쿠키,0.02336
2025-01-19,두바이 쫀득쿠키,0.01274
2025-01-20,두바이 쫀득쿠키,0.01911
2025-01-21,두바이 쫀득쿠키,0.01486
2025-01-22,두바이 쫀득쿠키,0.02548
2025-01-23,두바이 쫀득쿠키,0.02017
2025-01-24,두바이 쫀득쿠키,0.01592
2025-01-25,두바이 쫀득쿠키,0.02123
2025-01-26,두바이 쫀득쿠키,0.01805
2025-01-27,두바이 쫀득쿠키,0.01592
2025-01-28,두바이 쫀득쿠키,0.02123
2025-01-29,두바이 쫀득쿠키,0.02123
2025-01-30,두바이 쫀득쿠키,0.01592
2025-01-31,두바이 쫀득쿠키,0.01486
2025-02-01,두바이 쫀득쿠키,0.01061
2025-02-02,두바이 쫀득쿠키,0.00955
2025-02-03,두바이 쫀득쿠키,0.0138
2025-02-04,두바이 쫀득쿠키,0.02336
2025-02-05,두바이 쫀득쿠키,0.01274
2025-02-06,두바이 쫀득쿠키,0.02229
2025-02-07,두바이 쫀득쿠키,0.02336
2025-02-08,두바이 쫀득쿠키,0.02017
2025-02-09,두바이 쫀득쿠키,0.02442
2025-02-10,두바이 쫀득쿠키,0.02867
2025-02-11,두바이 쫀득쿠키,0.03716
2025-02-12,두바이 쫀득쿠키,0.0276
2025-02-13,두바이 쫀득쿠키,0.02548
2025-02-14,두바이 쫀득쿠키,0.04247
2025-02-15,두바이 쫀득쿠키,0.02548
2025-02-16,두바이 쫀득쿠키,0.01699
2025-02-17,두바이 쫀득쿠키,0.02336
2025-02-18,두바이 쫀득쿠키,0.02229
2025-02-19,두바이 쫀득쿠키,0.02229
2025-02-20,두바이 쫀득쿠키,0.01805
2025-02-21,두바이 쫀득쿠키,0.0276
2025-02-22,두바이 쫀득쿠키,0.02229
2025-02-23,두바이 쫀득쿠키,0.02548
2025-02-24,두바이 쫀득쿠키,0.01168
2025-02-25,두바이 쫀득쿠키,0.02442
2025-02-26,두바이 쫀득쿠키,0.02548
2025-02-27,두바이 쫀득쿠키,0.01699
2025-02-28,두바이 쫀득쿠키,0.01274
2025-03-02,두바이 쫀득쿠키,0.00955
2025-03-03,두바이 쫀득쿠키,0.0138
2025-03-04,두바이 쫀득쿠키,0.02123
2025-03-05,두바이 쫀득쿠키,0.01061
2025-03-06,두바이 쫀득쿠키,0.0138
2025-03-07,두바이 쫀득쿠키,0.00849
2025-03-08,두바이 쫀득쿠키,0.00637
2025-03-09,두바이 쫀득쿠키,0.01699
2025-03-10,두바이 쫀득쿠키,0.01911
2025-03-11,두바이 쫀득쿠키,0.01486
2025-03-12,두바이 쫀득쿠키,0.01911
2025-03-13,두바이 쫀득쿠키,0.01699
2025-03-14,두바이 쫀득쿠키,0.01699
2025-03-15,두바이 쫀득쿠키,0.01274
2025-03-16,두바이 쫀득쿠키,0.01274
2025-03-17,두바이 쫀득쿠키,0.01592
2025-03-18,두바이 쫀득쿠키,0.01274
2025-03-19,두바이 쫀득쿠키,0.02336
2025-03-20,두바이 쫀득쿠키,0.01805
2025-03-21,두바이 쫀득쿠키,0.01805
2025-03-22,두바이 쫀득쿠키,0.00955
2025-03-23,두바이 쫀득쿠키,0.01486
2025-03-24,두바이 쫀득쿠키,0.01061
2025-03-25,두바이 쫀득쿠키,0.02548
2025-03-26,두바이 쫀득쿠키,0.0138
2025-03-27,두바이 쫀득쿠키,0.01061
2025-03-28,두바이 쫀득쿠키,0.00849
2025-03-29,두바이 쫀득쿠키,0.01486
2025-03-30,두바이 쫀득쿠키,0.01061
2025-03-31,두바이 쫀득쿠키,0.01486
2025-04-01,두바이 쫀득쿠키,0.01486
2025-04-02,두바이 쫀득쿠키,0.01805
2025-04-03,두바이 쫀득쿠키,0.02123
2025-04-04,두바이 쫀득쿠키,0.01486
2025-04-05,두바이 쫀득쿠키,0.0138
2025-04-06,두바이 쫀득쿠키,0.01699
2025-04-07,두바이 쫀득쿠키,0.0138
2025-04-08,두바이 쫀득쿠키,0.01699
2025-04-09,두바이 쫀득쿠키,0.01168
2025-04-10,두바이 쫀득쿠키,0.01911
2025-04-11,두바이 쫀득쿠키,0.02867
2025-04-12,두바이 쫀득쿠키,0.02548
2025-04-13,두바이 쫀득쿠키,0.02442
2025-04-14,두바이 쫀득쿠키,0.02548
2025-04-15,두바이 쫀득쿠키,0.0499
2025-04-16,두바이 쫀득쿠키,0.05097
2025-04-17,두바이 쫀득쿠키,0.05309
2025-04-18,두바이 쫀득쿠키,0.06371
2025-04-19,두바이 쫀득쿠키,0.04353
2025-04-20,두바이 쫀득쿠키,0.07008
2025-04-21,두바이 쫀득쿠키,0.07645
2025-04-22,두바이 쫀득쿠키,0.06477
2025-04-23,두바이 쫀득쿠키,0.07433
2025-04-24,두바이 쫀득쿠키,0.0722
2025-04-25,두바이 쫀득쿠키,0.07645
2025-04-26,두바이 쫀득쿠키,0.04672
2025-04-27,두바이 쫀득쿠키,0.05415
2025-04-28,두바이 쫀득쿠키,0.09132
2025-04-29,두바이 쫀득쿠키,0.14335
2025-04-30,두바이 쫀득쿠키,0.13804
2025-05-01,두바이 쫀득쿠키,0.10087
2025-05-02,두바이 쫀득쿠키,0.07857
2025-05-03,두바이 쫀득쿠키,0.1253
2025-05-04,두바이 쫀득쿠키,0.11149
2025-05-05,두바이 쫀득쿠키,0.09556
2025-05-06,두바이 쫀득쿠키,0.07751
2025-05-07,두바이 쫀득쿠키,0.06265
2025-05-08,두바이 쫀득쿠키,0.11893
2025-05-09,두바이 쫀득쿠키,0.09238
2025-05-10,두바이 쫀득쿠키,0.13061
2025-05-11,두바이 쫀득쿠키,0.12848
2025-05-12,두바이 쫀득쿠키,0.11043
2025-05-13,두바이 쫀득쿠키,0.11149
