title,link,image,lprice,hprice,mallName,productId,productType,brand,maker,category1,category2,category3,category4,keyword
[봉동당] <b>두바이 쫀득쿠키</b> (피스타치오 카다이프 두바이 초콜렛),https://smartstore.naver.com/main/products/12820578011,https://shopping-phinf.pstatic.net/main_9036508/90365088960.jpg,4590,,봉동당,90365088960,2,,,식품,과자/베이커리,스낵,쿠키/비스킷,두바이 쫀득쿠키
빅 <b>두바이쫀득쿠키</b> 100g 2개입(총 200g) 두쫀쿠 모찌쿠키 카다이프 피스타치오,https://smartstore.naver.com/main/products/12789818146,https://shopping-phinf.pstatic.net/main_9033432/90334329094.4.jpg,25900,,규린이네수제과일청,90334329094,2,,,식품,과자/베이커리,스낵,쿠키/비스킷,두바이 쫀득쿠키
꽁이즈케이크릿 <b>두바이 쫀득쿠키</b> 핸드메이드 수제디저트 선물세트 답례품,https://smartstore.naver.com/main/products/11664710530,https://shopping-phinf.pstatic.net/main_8920922/89209220997.3.jpg,5400,,꽁이즈 케이크릿,89209220997,2,,,식품,과자/베이커리,스낵,쿠키/비스킷,두바이 쫀득쿠키
원조 <b>두바이쫀득쿠키</b> 쫀득볼 2세대 모찌쿠키 초콜릿 크리스마스 새해 선물 결혼식 남친 여친,https://smartstore.naver.com/main/products/11722894530,https://shopping-phinf.pstatic.net/main_8926740/89267405029.2.jpg,22900,,몬트쿠키,89267405029,2,,,식품,과자/베이커리,스낵,쿠키/비스킷,두바이 쫀득쿠키
<b>두바이 쫀득쿠키</b>세트(4ea),https://smartstore.naver.com/main/products/12793614783,https://shopping-phinf.pstatic.net/main_9033812/90338125732.2.jpg,22000,,가온베이커리 일산버터스콘,90338125732,2,,,식품,과자/베이커리,스낵,쿠키/비스킷,두바이 쫀득쿠키
<b>두바이 쫀득쿠키</b> 2세대 쫀득볼 모찌 답례품 선물,https://smartstore.naver.com/main/products/12634797302,https://shopping-phinf.pstatic.net/main_9017930/90179308208.jpg,4900,,조이츠,90179308208,2,,,식품,과자/베이커리,스낵,쿠키/비스킷,두바이 쫀득쿠키
<b>두바이쫀득쿠키</b> 6구 세트 (300g) 두바이쫀득모찌 쫀득쿠키택배 두바이쫀득볼 에이미미버터,https://smartstore.naver.com/main/products/12576943701,https://shopping-phinf.pstatic.net/main_9012145/90121454557.2.jpg,36000,,망구스디저트,90121454557,2,,,식품,과자/베이커리,스낵,쿠키/비스킷,두바이 쫀득쿠키
황홀스레 <b>두바이 쫀득쿠키</b> 생피스타치오 천연버터,https://smartstore.naver.com/main/products/12669876991,https://shopping-phinf.pstatic.net/main_9021438/90214387897.1.jpg,26500,,황홀스레 디저트,90214387897,2,,,식품,과자/베이커리,스낵,쿠키/비스킷,두바이 쫀득쿠키
<b>두바이 쫀득 쿠키</b> 모찌 답례품 선물 디저트 간식 졸업 응원 새해,https://smartstore.naver.com/main/products/12608514589,https://shopping-phinf.pstatic.net/main_9015302/90153025445.2.jpg,10800,,꾸밈디저트,90153025445,2,,,식품,과자/베이커리,스낵,쿠키/비스킷,두바이 쫀득쿠키
원조 <b>두바이 쫀득쿠키</b> 3세대 두쫀쿠 쫀득 모찌 볼 택배 초코 두비이 두쫀모찌 60g x4개,https://smartstore.naver.com/main/products/12913776103,https://shopping-phinf.pstatic.net/main_9045828/90458287095.jpg,24900,,브레두잇,90458287095,2,,,식품,과자/베이커리,스낵,쿠키/비스킷,두바이 쫀득쿠키
